usaf,wban,name,country,state,call,lat,lon,elev,begin,end
13520,99999,SANDHAUG,NO,,,60.183,7.483,1250,20040107,20180807
13560,99999,FANNARAKI,FO,,,61.517,7.9,2062,19881125,20140827
13590,99999,GEILO-OLDEBRATEN,NO,,,60.533,8.2,773,19730101,20180807
13591,99999,HAUGASTOL,NO,,,60.517,7.867,988,20070307,20070307
13600,99999,BRATA-SLETTOM,NO,,,61.9,7.9,664,19730101,20180807
13650,99999,BEITOSTOLEN II,NO,,,61.251,8.917,965,19730404,20180807
13660,99999,SOGNEFJELL,NO,,,61.567,8,1413,19790301,20180807
13670,99999,FAGERNES,NO,,,60.983,9.217,365.4,19821001,20180807
13720,99999,NESBYEN-SKOGLUND,NO,,,60.567,9.133,167,19730101,20040121
13740,99999,VEST-TORPA II,NO,,,60.933,10.033,542,19810501,20180807
13750,99999,KVITFJELL,NO,,,61.467,10.133,1028,19730101,20180802
13780,99999,LILLEHAMMER-SAETHERENGEN,NO,,,61.1,10.467,239,19730101,20180807
13800,99999,VENABU,NO,,,61.65,10.117,930,19850110,20180807
13801,99999,KITTILBU,NO,,,61.167,9.967,816,19741114,19840827
13920,99999,FLISA II,NO,,,60.617,12.017,185,20050218,20180807
13930,99999,DREVSJO,NO,,,61.883,12.033,673.5,19730101,20180807
13970,99999,TRYSIL VEGSTASJON,NO,,,61.3,12.267,361.4,19730101,20180807
14010,99999,FRIGG,NO,,,59.983,2.25,48,20010601,20070307
14060,99999,SLATTEROY FYR,NO,,,59.917,5.067,16,19730101,20180807
14140,99999,ROVER,NO,,,59.433,5.067,25,19890520,20180807
14160,99999,STAVANGER VAALAND,NO,,,58.95,5.733,72,20080724,20180807
14180,99999,AUSTEVOLL,NO,,,60.017,5.2,32,19730101,20180807
14211,99999,INDRE MATRE,NO,,,59.85,6,24,20020314,20020314
14230,99999,FISTER-TONNEVIK,NO,,,59.167,6.05,50,19730101,20070529
14270,99999,LISTA FYR,NO,,,58.117,6.567,14,19280101,20180807
14300,99999,MANDAL II,NO,,,58.017,7.45,138,19730101,20180807
14310,99999,SIRDAL-SINNES,NO,,,58.933,6.917,557,20070806,20180807
14321,99999,FIDJELAND,NO,,,58.967,6.933,568,20070307,20070307
14350,99999,HAUKELISETER TESTFELT,NO,,,59.817,7.217,989.5,19850111,20180807
14360,99999,LINDESNES FYR,NO,,,57.983,7.05,13,19730101,20180807
14400,99999,BLASJO,NO,,,59.333,6.867,1104.6,19730101,20180807
14410,99999,HOVDEN-LUNDANE,NO,,,59.583,7.383,836,19830101,20180807
14420,99999,BYGLANDSFJORD,NO,,,58.667,7.8,211,19730101,20180807
14450,99999,SKAFSA,NO,,,59.45,8,77,19730101,19891113
14470,99999,HOYDALSMO II,NO,,,59.5,8.2,562,20061121,20180807
14490,99999,GJERSTAD,NO,,,58.867,9.033,32,20120105,20180807
14530,99999,HYNNEKLEIV,NO,,,58.6,8.417,162,20120105,20180807
14590,99999,NELAUG,NO,,,58.65,8.633,142,19730101,20180807
14611,99999,GAUSTATOPPEN,NO,,,59.85,8.65,1803.7,20140605,20180728
14630,99999,AS,NO,,,59.65,10.767,89,20110929,20180807
14690,99999,HONEFOSS-HOYBY,NO,,,60.167,10.25,140,20050719,20180807
14700,99999,GVARV,NO,,,59.383,9.2,93,19730101,20160315
14740,99999,LYNGDAL I NUMEDAL,NO,,,59.9,9.533,294,19730101,20060831
14810,99999,MELSOM,NO,,,59.233,10.35,26,19740519,20180807
14830,99999,TORP,NO,,,59.183,10.267,88,19730101,20100310
14880,99999,HAKADAL,NO,,,60.117,10.833,170,19570101,20180807
14900,99999,TRYVANNSHOGDA,NO,,,59.983,10.683,528,19730101,20180807
